"id","assay_base","matrix"
"538","1351","18"
"539","1353","19"
"540","1355","7"
"541","1360","7"
"542","1360","18"
"543","1362","7"
"544","1362","18"
"545","1364","7"
"546","1364","18"
"547","1366","7"
"548","1366","18"
"549","1368","7"
"550","1368","18"
"551","1370","7"
"552","1370","18"
"553","1372","7"
"554","1372","18"
"555","1374","7"
"556","1374","18"
"557","1376","7"
"558","1376","18"
"559","1378","7"
"560","1378","18"
"561","1380","7"
"562","1380","18"
"563","1382","7"
"564","1382","18"
"565","1384","7"
"566","1384","18"
"567","1386","7"
"568","1386","18"
"569","1391","7"
"570","1391","18"
"571","1394","7"
"572","1397","19"
"573","1399","7"
"574","1399","18"
"575","82","16"
"576","1420","7"
"577","1420","18"
"578","1423","7"
"579","1426","16"
"580","1426","7"
"581","1428","7"
"582","1428","18"
"583","1438","7"
"584","1441","7"
"585","1443","7"
"586","1445","7"
"587","1448","16"
"588","1452","7"
"589","1454","7"
"590","1454","16"
"591","1458","7"
"592","1458","18"
"593","1461","7"
"594","1461","18"
"595","1464","7"
"596","1464","16"
"597","1473","7"
"598","1475","7"
"599","1475","18"
"600","1487","7"
"601","1487","18"
"602","1496","18"
"603","1500","7"
"604","1500","18"
"605","1506","12"
"606","43","19"
"607","1512","7"
"608","1512","18"
"609","1515","7"
"610","1515","18"
"611","1522","7"
"612","1522","18"
"613","1524","18"
"614","1528","16"
"615","1530","16"
"616","1533","16"
"617","1535","16"
"618","1546","7"
"619","1553","7"
"621","1564","7"
"622","1567","7"
"623","1569","7"
"624","1575","16"
"625","1577","16"
"626","1583","7"
"627","1583","8"
"628","1583","9"
"629","1586","12"
"630","1589","12"
"631","1592","12"
"632","1596","12"
"633","1605","16"
"634","1605","7"
"635","1608","7"
"636","1613","7"
"637","1613","18"
"638","1615","13"
"639","1615","18"
"640","1617","13"
"641","1617","18"
"642","1620","13"
"643","1620","18"
"644","1622","13"
"645","1622","18"
"646","1625","13"
"647","1625","18"
"648","1629","13"
"649","1629","18"
"650","1631","13"
"651","1631","18"
"652","1633","13"
"653","1633","18"
"654","1643","7"
"655","1643","18"
"656","1646","7"
"657","1646","18"
"658","1669","19"
"659","254","16"
"660","1680","7"
"661","1680","8"
"662","1680","9"
"663","1682","7"
"664","1682","8"
"665","1682","9"
"666","1684","13"
"667","1690","7"
"668","1693","7"
"669","1735","18"
"670","1737","18"
"671","1741","7"
"672","1741","8"
"673","1741","9"
"674","1741","10"
"675","1741","11"
"676","1741","13"
"677","1741","14"
"678","1741","15"
"679","1741","16"
"680","1741","19"
"681","1748","15"
"682","1756","7"
"683","1756","18"
"684","1758","7"
"685","1758","18"
"686","1849","7"
"687","1852","16"
"688","1863","7"
"689","1863","18"
"690","1669","18"
"691","1865","19"
"692","1865","18"
"693","1869","18"
"694","1869","19"
"695","1871","18"
"696","1871","19"
"697","1873","9"
"698","1873","18"
"699","1875","9"
"700","1875","18"
"701","1877","9"
"702","1880","9"
"703","1880","18"
"704","1877","18"
"705","1883","9"
"706","1883","18"
"707","1885","9"
"708","1885","18"
"709","1887","9"
"710","1887","18"
"711","1891","7"
"712","1894","8"
"713","1894","18"
"714","1919","12"
"715","1921","18"
"716","1921","13"
"717","1931","7"
"718","1931","8"
"719","1931","9"
"720","1933","7"
"721","1933","18"
"722","1935","7"
"723","1935","18"
"724","1937","7"
"725","1937","18"
"726","1940","7"
"727","1940","18"
"728","1942","7"
"729","1942","18"
"730","1944","7"
"731","1944","18"
"732","1948","7"
"733","1948","18"
"734","1950","7"
"735","1950","18"
"736","1953","19"
"737","1953","18"
"738","1956","18"
"742","1960","18"
"743","1958","18"
"744","1956","13"
"745","1958","13"
"746","1960","13"
"747","1967","19"
"748","1967","18"
"749","1969","15"
"750","1975","7"
"751","1975","18"
"752","1977","16"
"754","1981","7"
"755","1981","18"
"756","1983","7"
"758","1983","18"
"759","1987","7"
"760","1987","18"
"761","2014","7"
"762","2018","12"
"763","2020","7"
"764","2020","8"
"765","2020","9"
"766","2022","16"
"767","2024","7"
"768","2024","8"
"769","2024","9"
"770","2024","10"
"771","2024","11"
"772","2024","16"
"773","2024","19"
"774","2024","18"
"775","2028","7"
"785","2090","7"
"786","2090","18"
"787","2103","7"
"788","2105","7"
"789","2108","7"
"790","2110","7"
"791","2121","12"
"792","2123","12"
"793","2125","12"
"794","2127","12"
"795","2129","15"
"796","2131","15"
"797","2133","9"
"798","2135","9"
"799","2137","16"
"800","2139","16"
"801","2141","19"
"802","2143","19"
"803","2145","7"
"804","2145","8"
"805","2147","7"
"806","2147","8"
"807","2149","16"
"808","2151","7"
"809","2184","13"
"810","2184","14"
"811","2184","15"
"812","2187","18"
"813","2190","15"
"814","2172","7"
"815","2012","7"
"816","2194","7"
"817","2198","14"
"818","2198","15"
"819","2198","13"
"820","2209","7"
"821","2209","8"
"822","2209","9"
"823","2211","7"
"824","2211","8"
"825","2211","9"
"826","2213","7"
"827","2213","8"
"828","2213","9"
"829","2215","7"
"830","2215","8"
"831","2215","9"
"832","2247","7"
"833","2247","8"
"834","2247","9"
"835","2249","7"
"836","2249","8"
"837","2249","9"
"839","2295","16"
"840","2306","7"
"841","2306","18"
"842","2310","7"
